,label,tweet,id,cleaned_text
17,1,Tia chepa... Uhh Noo bitch she is your Tia Irma &#128530; aghh he's so annoying,17,tia chepa uhh noo bitch she is your tia irma 128530 aghh he is so annoying
18,1,Niggas be bitches hoes be bitches ion see no difference,18,niggas be bitches hoes be bitches ion see no difference
19,2,"RT @Loxodonta_s: #News &#8212; #Democrats and #AntiSemitism &#8212; #Jewish group condemns VP Joe Biden&#8217;s offensive reference to ""Shylocks"" http://t.co&#8230;",19,rt loxodontas news 8212 democrats and antisemitism 8212 jewish group condemns vp joe biden8217s offensive reference to shylocks 
20,1,What kind of sorcery is this.... RT @OfficiallyIce: Nope RT @2charmss: Eat this pussy while im on my cycle &amp; call it Cherry Pie,20,what kind of sorcery is this rt officiallyice nope rt 2charmss eat this pussy while im on my cycle  call it cherry pie
21,1,@1Starflow &#128514;&#128514;&#128514; them bitches need a tan,21,1starflow 128514128514128514 them bitches need a tan
22,1,"Sam is such a bitch, Ronnie got in a fight because of you &#128530;",22,sam is such a bitch ronnie got in a fight because of you 128530
23,2,"RT @SweetiePaii: RT if you listen to these bands &#128522;

A7X
PTV
SWS
ATL
BVB
ADTR
BMTH
YMAS
FOB
AA
Blink 182
TDG
SS
FIR
MCR

Follow me &amp; everyon&#8230;",23,"rt sweetiepaii rt if you listen to these bands 128522

a7x
ptv
sws
atl
bvb
adtr
bmth
ymas
fob
aa
blink 182
tdg
ss
fir
mcr

follow me  everyon8230"
24,1,Then the Mexican bitch wanna speak some other fuckin language &amp; then give attitude. Can't speak right ass! Tf,24,then the mexican bitch wanna speak some other fuckin language  then give attitude cannot speak right ass tf
25,2,"Despite the zebra red rocket special, portland beats those jersey shore floppers.",25,despite the zebra red rocket special portland beats those jersey shore floppers
26,1,OMGGGGG...!!!! Nigga said Jerry ... black bitch.,26,omggggg nigga said jerry  black bitch
27,1,That nigga Tannehill trash lmao Dolphins trash,27,that nigga tannehill trash laughing my ass off dolphins trash
28,1,"""@TheRealRickyB21: @JetsAndASwisher faggot bitch"" http://t.co/2HyyAbk4eH",28,therealrickyb21 jetsandaswisher faggot bitch 
29,1,This bitch keep looking is she choosing me or nah,29,this bitch keep looking is she choosing me or nah
30,2,I don't want to deal with yesterday's trash! There's a reason it got thrown out in the first place,30,i do not want to deal with yesterdays trash there is a reason it got thrown out in the first place
31,1,"i love how when it was airing everyone loved kill la kill but i was like ""no its fucking trash"" and now everyone who loved it hates it",31,i love how when it was airing everyone loved kill la kill but i was like no its fucking trash and now everyone who loved it hates it
32,1,@goodgraces_ ok faggot http://t.co/zdGtE9GvzX,32,goodgraces ok faggot 
33,1,@LymManny_ shit gettin money fuckin hoes uk how dat go lmaooooo,33,lymmanny shit gettin money fuckin hoes uk how dat go laughing my ass offoooo
34,1,RT @femaleproblems: u may think im a bitch but as soon as you get to know me u realize that first impressions are right and i am a bitch,34,rt femaleproblems u may think im a bitch but as soon as you get to know me u realize that first impressions are right and i am a bitch
35,2,@louisck a video i made -- Porn Actress Sexy Capri Anderson Kissing Video with Charlie Sheen http://t.co/VTH4r762 via @youtube,35,louisck a video i made  porn actress sexy capri anderson kissing video with charlie sheen  via youtube
36,1,It's still Spring bitch,36,it is still spring bitch
37,1,Where my bitches at Mann,37,where my bitches at mann
38,1,RT @NiggasBLike: When the nigga with the aux cord playin some trash shit... http://t.co/o5eZd8FSq9,38,rt niggasblike when the nigga with the aux cord playin some trash shit 
39,1,RT @C_da_Esquire: Who tweeting with last night pussy/ass or dick on they breath this morning?,39,rt cdaesquire who tweeting with last night pussyass or dick on they breath this morning
40,1,Son of a bitch #thunder,40,son of a bitch thunder
41,1,Can't save these hoes,41,cannot save these hoes
42,1,Easy Congo! RT @80sbaby4life Fuckin faggot RT @HumbltonBanks: All though I eat my lunch on the road frequently,42,easy congo rt 80sbaby4life fuckin faggot rt humbltonbanks all though i eat my lunch on the road frequently
43,1,@kayysavage bitch &amp; if they wasnt &#128514;&#128557;,43,kayysavage bitch  if they wasnt 128514128557
44,2,I have to dress up tomorrow for mock interviews and I still don't know how to tie the tie &#128530;,44,i have to dress up tomorrow for mock interviews and i still do not know how to tie the tie 128530
45,1,Photo: My mains @riri22barbie @georgegia yessssss #ladykimora turntup. #vegas bitches &#128525;&#128525; http://t.co/QecHHKO42q,45,photo my mains riri22barbie georgegia yessssss ladykimora turntup vegas bitches 128525128525 
46,1,Walk out that bitch like RT @MKellyRedmen25: Just murdered that test! http://t.co/XYiVSRbsop,46,walk out that bitch like rt mkellyredmen25 just murdered that test 
47,1,RT @ruckin_andrew: This bitch has a death grip on this niggas balls. Smh http://t.co/uh6OSApcMw,47,rt ruckinandrew this bitch has a death grip on this niggas balls smh 
48,1,@SkinnyKenny13 @Zaytovenn__ shiddd add me I a turn that bitch up lmao,48,skinnykenny13 zaytovenn shiddd add me i a turn that bitch up laughing my ass off
49,2,"@Brelston I realized it's the one on Link's Awakening too, so you killed two birds with one stone. Unless you're getting the Wind Fish too.",49,brelston i realized it is the one on links awakening too so you killed two birds with one stone unless you are getting the wind fish too
50,1,@D_41395 bitch don't b a hypocrite,50,d41395 bitch do not b a hypocrite
51,1,"RT @BobbyBlu_Band: Note about 300&#247;30 days in a month, these hoes selling pussy for $10 a pop lol. http://t.co/1tDZ1eQ3vM",51,rt bobbybluband note about 30024730 days in a month these hoes selling pussy for 10 a pop lol 
52,1,"RT @Hi_Slick: bitch you better play w/ this 

d
 i
i
 i
i
 i
i
 i
i
 i
i
c
k",52,"rt hislick bitch you better play with this 

d
 i
i
 i
i
 i
i
 i
i
 i
i
c
k"
53,1,"Hate when bitches tryna put you in the friendzone...bitch I'm tryna score, put me in the end-zone",53,hate when bitches tryna put you in the friendzonebitch i am tryna score put me in the endzone
54,1,"RT @BigBagOfScum: I'm gonna start my own web MD site and the only three diagnosis are-

Quit being a pussy
Lay off the drugs
Call 911",54,"rt bigbagofscum i am gonna start my own web md site and the only three diagnosis are

quit being a pussy
lay off the drugs
call 911"
55,0,"RT @TheOnlyReed: IDC what phone u got, lol silly nigger",55,rt theonlyreed idc what phone u got lol silly nigger
56,2,RT @TyDunne: Have to go with the slant pass to your outside linebacker in that situation.,56,rt tydunne have to go with the slant pass to your outside linebacker in that situation
57,1,"I hate a ""Hacked at 20k"" ass hoe..",57,i hate a hacked at 20k ass hoe
58,1,"@kieffer_jason keep talking I'm going to make when u can't talk, u going to be talking like a retard",58,kiefferjason keep talking i am going to make when u cannot talk u going to be talking like a retard
59,1,RT @imGONZOE: Im hooked on money.. The pussy and weed is just a bonus!,59,rt imgonzoe im hooked on money the pussy and weed is just a bonus
60,1,RT @PimpUncleJoe: #MyGoalFor2012 UnHoe these bitches,60,rt pimpunclejoe mygoalfor2012 unhoe these bitches
61,0,Omg!!! You won't say it to my face! Stupid ass hoes talkin shit!!! Imma whoop her ass!!! *over dramatic teenage girls*,61,omg you will not say it to my face stupid ass hoes talkin shit imma whoop her ass over dramatic teenage girls
62,2,&#128553; monkey mad,62,128553 monkey mad
63,1,@Orangeone4 @SteveWorks4You..biggest liars ever ...republican teabagger asshats like stockboy #pinoccio,63,orangeone4 steveworks4youbiggest liars ever republican teabagger asshats like stockboy pinoccio
64,1,@NoreigaStacks he forced it lol mad bitches came to my mind thru every bar,64,noreigastacks he forced it lol mad bitches came to my mind thru every bar
65,1,Fines hoes only &#128527;&#128076;,65,fines hoes only 128527128076
66,1,"RT @RealBobbyJay: If a mf really like you&#9786;&#65039;, they'll drop all their hoes&#128108;&#128109;, exes&#9995;&#128530;, &amp; groupies and focus only on you.. &#128107;",66,rt realbobbyjay if a mf really like you978665039 they will drop all their hoes128108128109 exes9995128530  groupies and focus only on you 128107
67,1,Harvard got the worst hoes cheerleading in America,67,harvard got the worst hoes cheerleading in america
68,1,"My bitch bad, she from the islands.",68,my bitch bad she from the islands
69,1,Deion's a bitch,69,deions a bitch
70,2,Debating feminism with a gay professor uninformed girls and low IQ rednecks is not my idea of a fun Wednesday night,70,debating feminism with a gay professor uninformed girls and low iq rednecks is not my idea of a fun wednesday night
71,1,RT @Tip_It_In: #IfSheCantSuckTheDickRight slap it on her forehead.. The bitch needs a spankin.. discipline her ass &#128514;&#9995;,71,rt tipitin ifshecantsuckthedickright slap it on her forehead the bitch needs a spankin discipline her ass 1285149995
72,1,"&#8220;@MightBeKoi: @Satisfied_x @__troyy Edward did OSS, he sparkled&#8221; &#128514;&#128514; bitch reality",72,8220mightbekoi satisfiedx troyy edward did oss he sparkled8221 128514128514 bitch reality
73,1,The birds singing brings thoughts of hot flesh on this #Spring morning. #Hot #sexual desire fills my head. Let me taste you &amp; feel You.,73,the birds singing brings thoughts of hot flesh on this spring morning hot sexual desire fills my head let me taste you  feel you
74,1,RT @TheDouch3: Tweeting about ur boyfriend won't get him off Xbox live that nigga gotta 24 kill streak rn bitch shut up,74,rt thedouch3 tweeting about ur boyfriend will not get him off xbox live that nigga gotta 24 kill streak rn bitch shut up
75,1,"RT @UnicornCowboy: @UglyNi99ah pepsi and cheerios
smashin on these hoes
got me blue in the taco
bae thinks of me flaco
errybody frontin
jus&#8230;",75,"rt unicorncowboy uglyni99ah pepsi and cheerios
smashin on these hoes
got me blue in the taco
bae thinks of me flaco
errybody frontin
jus8230"
76,1,@corey_emanuel bet... My trash ass self is just that petty,76,coreyemanuel bet my trash ass self is just that petty
77,1,""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",77, most hated but the hoes favorite  2mw sevenone  
78,1,RT @iFollowLesbians: Lol I have an obsession with smell goods. Candles...plug ins....spray...the smelly good wax thingys...pussy....,78,rt ifollowlesbians lol i have an obsession with smell goods candlesplug insspraythe smelly good wax thingyspussy
79,0,@hellootitty nigger,79,hellootitty nigger
80,1,Fuck a opp thot we'll shoot a bitch,80,fuck a opp thot we will shoot a bitch
81,0,"@PatDollard Fuckin muzzie cunts, should all be deported, savages",81,patdollard fuckin muzzie cunts should all be deported savages
82,1,Gudnight keep that pussy tight,82,gudnight keep that pussy tight
83,1,"I ain't got no pussy or weed, I'm on that bitch suck my dick diet",83,i am not got no pussy or weed i am on that bitch suck my dick diet
84,1,Ladies you are not a hoe if you fucked on the first night. Don't let these lonely bitches lie to you.,84,ladies you are not a hoe if you fucked on the first night do not let these lonely bitches lie to you
85,1,@kayysavage bitch this shit is SOOOO FUNNY &#128553;&#128128;&#128557;,85,kayysavage bitch this shit is soooo funny 128553128128128557
86,0,So I decided to drive to the good walmart where the colored folks don't go bc it's food here.,86,so i decided to drive to the good walmart where the colored folks do not go bc it is food here
87,1,Like I can't have niggas thinkin ho-tep talk time is apart of my party sets.,87,like i cannot have niggas thinkin hotep talk time is apart of my party sets
88,1,RT @squeakkgod: Fuck da Opps 1x Fuck dear hoes 3x &#128514;,88,rt squeakkgod fuck da opps 1x fuck dear hoes 3x 128514
89,1,@KingLister10 @Sweet_Loveeee @_ItsCheese that shit chunky lol,89,kinglister10 sweetloveeee itscheese that shit chunky lol
90,1,@Almighty_Woo he said he got you in workouts pussy!!!!!!,90,almightywoo he said he got you in workouts pussy
91,1,yal some faggots yup nigga you n you fuckin fruit cups.,91,yal some faggots yup nigga you n you fuckin fruit cups
92,1,RT @drunksixthgrade: 7th grade bitches &lt;3 http://t.co/USAEZLCs5v,92,rt drunksixthgrade 7th grade bitches love 
93,1,RT @VadeFisse_: dont try too fuck with me &amp; got a million and TWO bitches because I will tell them all.. I PROMISE I WILL,93,rt vadefisse dont try too fuck with me  got a million and two bitches because i will tell them all i promise i will
94,1,"@kay_laa_laa I know, all the bitches love me&#128129;",94,kaylaalaa i know all the bitches love me128129
95,2,"@Liveitupjersey @ccass357 don't trash Jersey...ODDS ARE..YOU WOULDN'T LAST 10 MINUTES AROUND HERE! 
Go back to watching BARNEY!",95,"liveitupjersey ccass357 do not trash jerseyodds areyou wouldnt last 10 minutes around here 
go back to watching barney"
96,0,RT @anthonycampos23: Lebron your still a bitch you suck nigger hope you die,96,rt anthonycampos23 lebron your still a bitch you suck nigger hope you die
97,2,":) ""@PeterDavidsonII: At some point, we need to discuss how delicious the vegan brownie from @busboysandpoets on u St. tastes!""",97, peterdavidsonii at some point we need to discuss how delicious the vegan brownie from busboysandpoets on u st tastes
98,1,' Idk why niggah give a female head then throw a condom on lmaooo niggah you already ate the whole STD &#1041204;&#1041204;,98, idk why niggah give a female head then throw a condom on laughing my ass offoo niggah you already ate the whole std 10412041041204
99,1,Omfg. The crazy bitch is here&#128557;&#128584;,99,omfg the crazy bitch is here128557128584
100,1,Them hoes don't like me &#128514;&#128514;&#128514;&#128514;&#128514;&#128553;&#128553;&#128553;&#128553;&#128530;&#9996;&#65039;,100,them hoes do not like me 128514128514128514128514128514128553128553128553128553128530999665039
101,1,Warriors ain't winning shit if Curry keep playin like a bitch,101,warriors am not winning shit if curry keep playin like a bitch
102,1,this bitch,102,this bitch
103,1,People are such bitches!!! Complaining over stupid things!,103,people are such bitches complaining over stupid things
104,1,"""On top of that, she just a pregnant ass sorry hoe. Aint never got no money. Even her water broke."" - @TallTrappin88 #RIPTALLT",104,on top of that she just a pregnant ass sorry hoe aint never got no money even her water broke  talltrappin88 riptallt
105,1,@StephyRae7 where have you been hoe,105,stephyrae7 where have you been hoe
106,1,My niggah I slept perfect,106,my niggah i slept perfect
107,1,&#128514;&#128514;&#128514; nah if you round me you do Molly &#8220;@CallNeeshCakey: Only bitches with no nigga do Mollies...&#8221;,107,128514128514128514 nah if you round me you do molly 8220callneeshcakey only bitches with no nigga do mollies8221
108,2,@LCisTJ ; so you about to purpose to Charlie?,108,lcistj  so you about to purpose to charlie
109,1,"Hoes be like ""Hoes be like""..........But they be the hoes that be like",109,hoes be like hoes be likebut they be the hoes that be like
110,0,"@lillivonschtupp @13Damage @BrazenModels 
I don't likes dat magazine. All da black folk look like dey one chromeasome away from da ape",110,"lillivonschtupp 13damage brazenmodels 
i do not likes dat magazine all da black folk look like dey one chromeasome away from da ape"
111,1,RT @MissVoshay: &#8220;@VaIentinesCards: http://t.co/y75Aw0Olm3&#8221; ooooo give this one to the hot pocket hoe #AAMU,111,rt missvoshay 8220vaientinescards 8221 ooooo give this one to the hot pocket hoe aamu
112,1,RT @_BeautifulKeezy: &#8220;@100046729: @_BeautifulKeezy lmfao bitch was I talking to you &#128514;&#128514;&#8221;but I'm talking to you in my bubba voice &#128514;&#128514;&#128514;&#128128;,112,rt beautifulkeezy 8220100046729 beautifulkeezy lmfao bitch was i talking to you 1285141285148221but i am talking to you in my bubba voice 128514128514128514128128
113,1,It's funny when u get a black female mad they start acting ghetto then a bitch,113,it is funny when u get a black female mad they start acting ghetto then a bitch
114,2,"&#8220;@King_SM If Howard elbow bosh, will bosh fight back?&#8221; don't have to got mcbob bird and UD",114,8220kingsm if howard elbow bosh will bosh fight back8221 do not have to got mcbob bird and ud
115,0,Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,115,every slant in losangeles should be deported those scum have no right to be here chinatown should be bulldozed
116,1,Pau a hoe. How u gon play after the trade deadline,116,pau a hoe how u gon play after the trade deadline
117,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,117, rt urkindofbrand dawg rt 80sbaby4life you ever fuck a bitch and she start to cry you be confused as shit
118,1,Tyga and Drake two light skin bitches but if had to choose in a fight I would go with the guy from Compton over the one from Toronto,118,tyga and drake two light skin bitches but if had to choose in a fight i would go with the guy from compton over the one from toronto
119,1,@imxnii_ I swear this is just disgraceful like a bitch line a really be dry all day I'll only get emails from pacsun ! &#128557;&#128299;,119,imxnii i swear this is just disgraceful like a bitch line a really be dry all day i will only get emails from pacsun  128557128299
120,0,@ZaneIsClasker the fuck r u talking about I told u once and am going to tell u against nigga I love white bitch gtf bro,120,zaneisclasker the fuck r u talking about i told u once and am going to tell u against nigga i love white bitch gtf bro
121,2,RT @BestOfWorldStar: Charlie Sheen did the ice bucket challenge the right way http://t.co/IjS0b0VtoY,121,rt bestofworldstar charlie sheen did the ice bucket challenge the right way 
122,1,@TheJustinnn @toddkincannon @realbrother0003 He's a pussy,122,thejustinnn toddkincannon realbrother0003 he is a pussy
123,1,@VinniePolitan the cunt needs her hands cut off!!!!!,123,vinniepolitan the cunt needs her hands cut off
124,1,What a bitch.. #pshh,124,what a bitch pshh
125,1,@kassidypeek pussy shit ^,125,kassidypeek pussy shit 
126,1,@JAYREIDOFFICIAL a nicca anxious to hear that shit my g,126,jayreidofficial a nicca anxious to hear that shit my g
127,1,"Likka downtown bitch at a secondline! RT @BallHawk_Carter: Man yeah that's ball game Teddy Bridgewater gettin in , we hit 0-3",127,likka downtown bitch at a secondline rt ballhawkcarter man yeah that is ball game teddy bridgewater gettin in  we hit 03
128,1,RT @DaFuckinUnicorn: swag swag swag bitch moooob,128,rt dafuckinunicorn swag swag swag bitch moooob
129,1,I dont love these hoes .,129,i dont love these hoes 
130,1,"little stupid ass bitch, I ain't fuckin wit chuuu",130,little stupid ass bitch i am not fuckin wit chuuu
131,1,I'm going to be an ugly niggah for Halloween so I can just be myself.,131,i am going to be an ugly niggah for halloween so i can just be myself
132,2,&#8220;@CommonManKFAN: And that's why mock drafts are a joke my friends.....&#8221;Anyone???,132,8220commonmankfan and that is why mock drafts are a joke my friends8221anyone
133,1,Bitch i wouldn't eat yah pussy wit another nigga tongue,133,bitch i would not eat yah pussy wit another nigga tongue
134,1,RT @_kivnaaa: @VivaLaKash &#128514;&#128514;&#128514; on God i be thinking that . lol people at school be showing me this nigguh videos . im like &#128563; he famous oss &#128514;,134,rt kivnaaa vivalakash 128514128514128514 on god i be thinking that  lol people at school be showing me this nigguh videos  im like 128563 he famous oss 128514
135,1,"Idgaf if that's sounds illogical, this Twitter bitch.",135,idgaf if that is sounds illogical this twitter bitch
136,2,@ronniecaine so 'how bout now' was just trash huh.,136,ronniecaine so how bout now was just trash huh
137,1,@WolfgangAbedeus @NickFilancia80 @clair3ismon3y You can tease this dick faggot,137,wolfgangabedeus nickfilancia80 clair3ismon3y you can tease this dick faggot
138,1,"@kieffer_jason bitch what? I did show up then I tweeted,dm, texted then called u and I asked u were tryna meet up bitch ur fucking weak.",138,kiefferjason bitch what i did show up then i tweeteddm texted then called u and i asked u were tryna meet up bitch ur fucking weak
139,1,"Behind every independent woman, is a pack of hating hoes",139,behind every independent woman is a pack of hating hoes
140,2,@DanWolken It's idiotic opinions like this that make polls less than trash. Polls weren't a problem when people with integrity were voting.,140,danwolken it is idiotic opinions like this that make polls less than trash polls were not a problem when people with integrity were voting
141,1,"My house is so piece full, thank god these little jungle bunnies are outta my face",141,my house is so piece full thank god these little jungle bunnies are outta my face
142,1,Believe in the heart of the cards bitch.,142,believe in the heart of the cards bitch
143,0,@Newser big fucking deal...cry baby niggers,143,newser big fucking dealcry baby niggers
144,1,"RT @drunksixthgrade: ""And if you aint a hoe, GET UP OUT MY TRAPHOUSEEEE"" http://t.co/KyN7iZFw4i",144,rt drunksixthgrade and if you aint a hoe get up out my traphouseeee 
145,0,@white_thunduh my bitch dont want your ugly ass gtfo ol peyton manning lookin ass,145,whitethunduh my bitch dont want your ugly ass gtfo ol peyton manning lookin ass
146,1,"&#8220;@SukaSuiti: ""@uce_INA: Nawwww If you a hoe you sittin on the floor and not my damn couuuuuch&#128131;"" but your birthday is in Feb or naa?&#8221; Nope",146,8220sukasuiti uceina nawwww if you a hoe you sittin on the floor and not my damn couuuuuch128131 but your birthday is in feb or naa8221 nope
147,1,That's why i could always call SMURF For anything my niggah always there even when im beefing w my baby,147,that is why i could always call smurf for anything my niggah always there even when im beefing w my baby
148,1,jacobs just like stfu bitch,148,jacobs just like stfu bitch
149,1,&#128514;&#128514;&#128514;&#128514; I hate you! RT @YumiYoko: Cyrus ho is a rookie slut. getting the cash after the date? nope nope nope.,149,128514128514128514128514 i hate you rt yumiyoko cyrus ho is a rookie slut getting the cash after the date nope nope nope
150,1,I hate when people just randomly stop talking to you like give me a reason bitch,150,i hate when people just randomly stop talking to you like give me a reason bitch
151,1,All the pictures of the ex are gone...there's no pictures with the side hoe posted...*slides into his dm's like* http://t.co/XMVtZ0GTPp,151,all the pictures of the ex are gonethere is no pictures with the side hoe postedslides into his dms like 
152,1,"@XXXratedLIPSS I always want to speak to ppl I converse with on twitter but they always look at me like ""bitch, Idk you in REAL life.."" smh",152,xxxratedlipss i always want to speak to ppl i converse with on twitter but they always look at me like bitch idk you in real life smh
153,1,#SignsOfCockBlockin ----&gt;RT @tribexyunglion: Niggahs telling hoes I'm down talking them just so I can't get on &#128514; #FuckNiggahs,153,signsofcockblockin rt tribexyunglion niggahs telling hoes i am down talking them just so i cannot get on 128514 fuckniggahs
154,1,My mother even bitched his bitch ass ctfu,154,my mother even bitched his bitch ass ctfu
155,1,"RT @TattedBrunetteX: Can I get a ""fuck you"" to these bitches from all of my niggas who don't love hoes, they get no dough.",155,rt tattedbrunettex can i get a fuck you to these bitches from all of my niggas who do not love hoes they get no dough
156,1,"all the money n the pussy I want, I need that there",156,all the money n the pussy i want i need that there
157,0,"i find it funny when fags write ""looking for bf"" on a grindr ap. LOL thats a fucking ap dumbass.",157,i find it funny when fags write looking for bf on a grindr ap lol thats a fucking ap dumbass
158,2,RT @BigMac6374: I don't like the weather right now it's scaring me lol why is it yellow?,158,rt bigmac6374 i do not like the weather right now it is scaring me lol why is it yellow
159,1,"yeah I'm a bitch, but guess what? you're still a slut.",159,yeah i am a bitch but guess what you are still a slut
160,2,Mommy said no pussy cats inside my dawgs house,160,mommy said no pussy cats inside my dawgs house
161,1,RT @JesusMVela: &#8220;@Enriquuee_: @JesusMVela @wigga32 fucking pussy that's why&#8221; exactly. Let me @ the nigga @RyanMattheww7 were talking about &#8230;,161,rt jesusmvela 8220enriquuee jesusmvela wigga32 fucking pussy that is why8221 exactly let me  the nigga ryanmattheww7 were talking about 8230
162,1,Being a sober soul just wasnt interesting.. bitch im living #5spmg #GGL http://t.co/W58Q6Hr20j,162,being a sober soul just wasnt interesting bitch im living 5spmg ggl 
163,1,@Barbod6FCB Am not gonna shut shit up bitch but u can get yo punk ass out there hoe ass nigga,163,barbod6fcb am not gonna shut shit up bitch but u can get yo punk ass out there hoe ass nigga
164,1,"Just yelled out ""Damn it reeks of weed in there.""(really did) after this stoner fag didn't tip me while a cop was walking by.
HAHA bitches.",164,"just yelled out damn it reeks of weed in therereally did after this stoner fag did not tip me while a cop was walking by
haha bitches"
165,2,This flappy bird game addicting .,165,this flappy bird game addicting 
166,1,Hell I believe you too!RT @DaRealQuitaM: @VonshayeB lol I still look good I'm smaller than half these hoes,166,hell i believe you toort darealquitam vonshayeb lol i still look good i am smaller than half these hoes
167,1,"I want some fire crackers not the baby ass fire works, Does Az have fire crackers ???",167,i want some fire crackers not the baby ass fire works does az have fire crackers 
168,1,or my cup filled &#8220;@BossmobbE: Love a bitch that know to keep me one rolled&#8221;,168,or my cup filled 8220bossmobbe love a bitch that know to keep me one rolled8221
169,1,"RT @QueenBitchhhh_: I'm scared to lose you, cause I know you get bitches.",169,rt queenbitchhhh i am scared to lose you cause i know you get bitches
170,1,"RT @psjohnson23: The problem with retard liberals is they think Supply &amp; Demand means ""Supply me with everything I Demand."" #VotingMatters",170,rt psjohnson23 the problem with retard liberals is they think supply  demand means supply me with everything i demand votingmatters
171,1,RT @ArlisDoNotChill: This bitch played too much Subway Surfer http://t.co/BK5UnHQO3z,171,rt arlisdonotchill this bitch played too much subway surfer 
172,2,"""Generate ASCII boxes with NodeJS"" all I see is the ability to bring flappy-bird in node via ASCII tubes and bird ^_^ http://t.co/lRJWDFhv7T",172,generate ascii boxes with nodejs all i see is the ability to bring flappybird in node via ascii tubes and bird  
173,1,Thats my bitch when i feel like it.,173,thats my bitch when i feel like it
174,1,RT @KeyanaLatricee_: Idk why your favoriting shit hoe. Bye &#128536;&#128075;,174,rt keyanalatricee idk why your favoriting shit hoe bye 128536128075
175,1,@dexfrost23 you can be a bad bitch too dex its okay,175,dexfrost23 you can be a bad bitch too dex its okay
176,2,@KurtBusiek well pee is oft yellow.,176,kurtbusiek well pee is oft yellow
177,1,I am for equality in the law for all people white black red yellow and blue. Homo's Hetero's well I draw the line... http://t.co/UGZyRtkAbw,177,i am for equality in the law for all people white black red yellow and blue homos heteros well i draw the line 
178,1,stupid bitch&#8230;&#8230; count to H and get off my phone,178,stupid bitch82308230 count to h and get off my phone
179,1,Some bitches curve game be too serious,179,some bitches curve game be too serious
180,1,"RT @Jamilaahhh: These hoes be twerkin for Birkin, poppin coochie for Gucci, bustin wide for that Prada, Bendin over for Louis",180,rt jamilaahhh these hoes be twerkin for birkin poppin coochie for gucci bustin wide for that prada bendin over for louis
181,1,RT @DaraUnn: @joshuataddac I haven't slapped a bitch in two weeks,181,rt daraunn joshuataddac i have not slapped a bitch in two weeks
182,2,@xtruthseekerx_ blaxican,182,xtruthseekerx blaxican
183,1,@DriveMy_Lexis yasssss bitch yasssss &#128525;,183,drivemylexis yasssss bitch yasssss 128525
184,2,some call me the song bird of my generation,184,some call me the song bird of my generation
185,1,"HYSTERICAL!! Calling BHO a monkey! #NorthKorea &lt; may be a bunch of assholes, but that comment made me belly laugh!!!",185,hysterical calling bho a monkey northkorea  may be a bunch of assholes but that comment made me belly laugh
186,1,"@ConManBO @LastGreatStand

And a major league bitch too!",186,"conmanbo lastgreatstand

and a major league bitch too"
187,1,RT @Deemazz_70: @JMcCown11 got all the bitches http://t.co/A3gF4iAPS9,187,rt deemazz70 jmccown11 got all the bitches 
188,1,RT @cIavdia: wow well aren't you just a fucking cunt :),188,rt ciavdia wow well are not you just a fucking cunt 
